,asuult,angilal,on
,Өгөгдсөн сүлжээний 1 ба 4-р оройн хоорондох найдвартай ажиллах магадлалыг  тодорхойлно уу?,ойлгох,2
,Дараах зурагаар дүрслэгдсэн дохиоллын сүлжээний элементүүдийн үүргийг тайлбарлана уу?,ойлгох,2
, Синхрончлолын сүлжээ зохион байгуулах аргуудыг бичиж тайлбарлана уу?,ойлгох,2
,Асуулт 46-д өгөгдсөн топологийн 1-7 цэгийн хоорондох замын олонлогийг Булевийн алгебр,ойлгох,2
,"Цахигаан холбооны сүлжээ нь бүх төрлийн дохиог хувиарладаг  ба 2 талын        ажиллагаатай,  үйлдвэрлэл үйлчилгээ зэрэг явуулдаг  зэрэг онцлогтой",ойлгох,2
, Харилцаа холбооны сүлжээнд үүсэх мэдээллийн урсгалыг сүлжээний ачаалал гэнэ.,Сэргээн санах,1
,Цахилгаан холбооны сүлжээ нь зөвхөн олон нийтийн хэрэгцээнд зориулагдана. ,Сэргээн санах,1
,PLMN ямар сүлжээний товчлол вэ? ,Сэргээн санах,1
,TMN ямар сүлжээний товчлол вэ? ,Сэргээн санах,1
, Цахилгааан Холбооны сүлжээнд дамжуулах орчин ямар үүрэгтэй вэ? ,Сэргээн санах,1
,Холбооны сүлжээний 3 үндсэн технологийг сонго.,Сэргээн санах,1
,Төгсгөлийн төхөөрөмж ямар үүрэгтэй вэ?,Сэргээн санах,1
,Дараах технологиудын аль нь синхрон тоон сүлжээний технологи вэ? ,Сэргээн санах,1
,Холбооны сүлжээнд ямар топологийг ашигладаг вэ?  ,Сэргээн санах,1
,Сүлжээнд үүсэх ачааллыг яаж тодорхойлдог вэ?,Сэргээн санах,1
, Аль тохиолдолд дохио гажуудах вэ?  ,Сэргээн санах,1
,Телефон сувгийн спектрийн өргөн ямар байдаг вэ? ,Сэргээн санах,1
,Европ стандартын тоон шатлалын үндсэн сувгийн хурд хэд вэ?,Сэргээн санах,1
,Ачааллын матриц тэгш хэмтэй юу?  ,Сэргээн санах,1
,Холбооны сүлжээнд дугаарлалт гэж юу вэ?,Сэргээн санах,1
,"Телефон сүлжээ, өгөгдлийн сүлжээ хоёрын хооронд дугаарын харилцан зохицуулалтын ямар аргыг ашигладаг вэ?.",Сэргээн санах,1
,PDH технологийн тоон дамжуулах сүлжээний II эрэмбийн  урсгал ямар хурдтай вэ,Сэргээн санах,1
,SDH-ийн STM-16-ын хурд хэд вэ?,Сэргээн санах,1
,GSM-ийн шууд сувгийн давтамж нь,Сэргээн санах,1
,Давтамж хуваарилалтын тогтмол  аргын үед суваг зээлдэх процесс хийгддэг. Энэ         процессыг хаанаас удирддаг вэ?,Сэргээн санах,1
,Хөдөлгөөнт үүрэн холбооны бааз станцын контроллер BSC-ийн үүрэг нь:,хэрэглэх,3
,"Эрланг В –ийн тэгшитгэл ) !/( )!/( ],[ i A kA P i k Nk   юуг тодорхойлдог вэ?",Сэргээн санах,1
,Нягтруулаагүй шугамын гэмтлийн нягтыг яаж үнэлэдэг вэ? ,Сэргээн санах,1
,Ажилд бэлэн байдлын коэффициентийг яаж тодорхойлох вэ?,Сэргээн санах,1
,Сүлжээнд n тооны элемент цуваа залгагдсан бол сүлжээний найдвартай аэиллах магадлалыг яаж тодорхойлох вэ?,Сэргээн санах,1
,Тоон сүлжээний  хувьд чанарын гол үзүүлэлт дараах үзүүлэлтүүдийн аль нь вэ? ,Сэргээн санах,1
,Телевизийн сувгийн динамик диапазон: хэд вэ?,Сэргээн санах,1
, Slip-ыг илрүүлэхийн тулд ямар төхөөрөмж хаана тавьдаг вэ?,Сэргээн санах,1
,GPS-ээр хүлээн авсан цагийн дохиог хааш нь хувиарладаг вэ?  ,Сэргээн санах,1
, ЦХ Сүлжээний найдвар гэж юуг хэлдэг вэ?  ,Сэргээн санах,1
,Ачааллын Эрлангаар тодорхойлдог. Нэг эрланг гэж ямар хэмжээ вэ,Сэргээн санах,1
,Сүлжээний синхрончлолыг зохион байгуулах аргуудыг дурьдана уу? ,Сэргээн санах,1
,Анхдагч цаг үүсгүүрт (PRS)  яиар нарийвчлалтхй генератор сонгох вэ?,Сэргээн санах,1
,SS7-ын LSSU-ийг бүрдүүлэгч талбаруудыг нэрлэ?,Сэргээн санах,1
,SS7-ын дохионы нэгжүүд юугаараа ялгаатай вэ?,Сэргээн санах,1
,In-band дохиолол гэж ямар дохиоллыг хэлпдэг вэ?,Сэргээн санах,1
,Сувгийн холбоотой болон ерөнхий сувгийн дохиоллын системд PCM –30-ын зөвхөн нэг сувгийг дохиололд  ашигладаггүй.. Энэ ямар суваг вэ,Сэргээн санах,1
,Мэдээлэл хадгалах техник хэрэгслүүдийг дурьдана уу?  ,Сэргээн санах,1
,"10-9 нарийвчлалтай цаг үүсгүүр хэрэглэх үед Slip гарах давтамж, үеийг ол.",ойлгох,2
,"20000 хэрэглэгчтэй телефон сүлжээнд үүсэх оргил ачааллын        хэмжээ, шаардлагатай PCM-ийн тоог тодорхойл.",ойлгох,2
,Сүлжээний хөгжил  Y = 15 +28t хуулиар өөрчлөгдөнө гэж үзээд.        15 жилийн дараа түүний хэрэглэгчийн тоо хэд болохыг тодорхойл.,задлан шинжлэх,4
,Өгөгдсөн бүтцийн матрицын дагуу холбооны сүлжээний  топологи (зураг)-ийг гаргана уу? ,хэрэглэх,3
,Өгөгдсөн сүлжээний    бүтцийн матрицийг        бичнэ үү?  ,хэрэглэх,3
,Өгөгдсөн сүлжээний 1 ба 5-р оройн хоорондох найдвартай         ажиллагааг тодорхойлно уу?,хэрэглэх,3
, Холбооны хандалтын сүлжээний  функ тайлбарлана уу?,хэрэглэх,3
,Дараах  сүлжээний зургийг  тайлбарлана уу?,хэрэглэх,3
,Удирдлагын  сүлжээний топологийн  бүтцийг  зурж  харьцуулж дүгнэнэ үү?  ,хэрэглэх,3
,"Орчин үеийн ЦХ Сүлжээ нь трафикийн, дохиоллын, удирдлагын, синхрончлолын гэсэн 4 дэд сүлжээ нэгэн зэрэг зохион байгуулдаг.",хэрэглэх,3
,Харилцаа холбооны сүлжээ нь хэрэглэгчийн мэдээлэл солилцох хэрэгцээг хангана. ,хэрэглэх,3
, Харилцаа холбооны сүлжээ нь үйлчилгээг хэрэгжүүлнэ ,хэрэглэх,3
,ISDN ямар сүлжээний товчлол вэ?,Сэргээн санах,1
,PBX  ямар үгний  товчлол вэ? ,Сэргээн санах,1
,Холбооны сүлжээний үйлдвэрлэл гэж юу вэ?,Сэргээн санах,1
,Шилэн кабелийн нягтруулгад  хэрэглэх шинэ технологийг сонго ,Сэргээн санах,1
,Холбооны сүлжээнд хүлээн авагч ямар үүрэгтэй вэ?,Сэргээн санах,1
